optimal_tour,optimal_tour_length,christofides_tour,christofides_tour_length,score,time
"{1, 3, 17, 13, 8, 20, 15, 7, 11, 19, 9, 2, 14, 6, 18, 4, 16, 12, 5, 10, 1}",3.634190,"{1, 5, 16, 18, 4, 6, 14, 7, 11, 19, 9, 2, 13, 20, 8, 15, 17, 12, 10, 3, 1}",4.321100,0.189013,0.000188
"{1, 19, 16, 17, 8, 7, 14, 6, 12, 15, 10, 20, 11, 9, 5, 13, 3, 4, 2, 18, 1}",4.026299,"{1, 16, 17, 8, 2, 4, 19, 18, 15, 7, 14, 6, 10, 12, 20, 11, 13, 3, 5, 9, 1}",5.075188,0.260509,0.000187
"{1, 19, 20, 12, 9, 10, 14, 8, 16, 2, 13, 4, 6, 17, 3, 18, 5, 7, 15, 11, 1}",3.557369,"{1, 19, 20, 12, 9, 10, 14, 8, 13, 16, 2, 17, 6, 4, 3, 18, 5, 7, 15, 11, 1}",4.021644,0.130511,0.000175
"{1, 10, 8, 20, 19, 17, 5, 2, 12, 14, 18, 11, 9, 7, 15, 3, 6, 13, 4, 16, 1}",3.502678,"{1, 16, 2, 12, 14, 18, 11, 9, 7, 15, 3, 13, 6, 4, 20, 19, 17, 5, 8, 10, 1}",4.237407,0.209762,0.000181
"{1, 7, 13, 4, 5, 6, 15, 19, 9, 12, 17, 18, 20, 10, 8, 2, 14, 11, 16, 3, 1}",3.979385,"{1, 3, 16, 11, 14, 6, 15, 4, 19, 9, 12, 17, 18, 20, 10, 8, 2, 13, 5, 7, 1}",5.058195,0.271100,0.000184
"{1, 16, 10, 8, 17, 9, 3, 2, 14, 4, 12, 6, 18, 19, 5, 11, 7, 20, 15, 13, 1}",3.989491,"{1, 13, 15, 20, 4, 12, 14, 2, 19, 18, 7, 11, 5, 6, 3, 9, 8, 17, 16, 10, 1}",4.619900,0.158017,0.000177
"{1, 6, 7, 13, 4, 11, 8, 18, 2, 12, 5, 16, 15, 10, 14, 9, 3, 19, 17, 20, 1}",3.445786,"{1, 4, 11, 16, 15, 10, 3, 9, 14, 5, 12, 2, 18, 8, 20, 17, 19, 13, 7, 6, 1}",4.408144,0.279286,0.000209
"{1, 3, 2, 15, 4, 10, 11, 14, 19, 8, 20, 12, 7, 6, 17, 13, 9, 16, 5, 18, 1}",4.204516,"{1, 18, 10, 20, 5, 16, 9, 13, 17, 7, 12, 6, 8, 14, 19, 11, 15, 4, 2, 3, 1}",5.192436,0.234966,0.000185
"{1, 6, 7, 20, 11, 15, 10, 2, 9, 13, 18, 16, 5, 14, 8, 17, 12, 4, 3, 19, 1}",4.102246,"{1, 7, 20, 19, 3, 15, 4, 12, 17, 10, 14, 8, 2, 5, 16, 9, 13, 18, 11, 6, 1}",5.035487,0.227495,0.000188
"{1, 3, 17, 15, 18, 7, 14, 8, 5, 13, 12, 6, 2, 16, 10, 20, 11, 19, 4, 9, 1}",4.085589,"{1, 3, 17, 15, 9, 20, 10, 16, 18, 7, 14, 8, 5, 13, 12, 6, 2, 11, 19, 4, 1}",5.163148,0.263746,0.000183
"{1, 14, 5, 12, 20, 16, 3, 15, 7, 10, 2, 19, 8, 18, 4, 9, 17, 11, 13, 6, 1}",3.822300,"{1, 14, 5, 12, 16, 20, 3, 10, 7, 15, 2, 19, 8, 17, 9, 4, 18, 11, 13, 6, 1}",4.157218,0.087622,0.000180
"{1, 2, 15, 3, 8, 17, 10, 19, 14, 13, 4, 11, 7, 12, 6, 18, 9, 5, 16, 20, 1}",3.278409,"{1, 20, 16, 5, 9, 18, 6, 12, 7, 4, 11, 13, 14, 19, 10, 17, 8, 3, 15, 2, 1}",3.288945,0.003214,0.000180
"{1, 19, 20, 6, 8, 13, 7, 4, 10, 9, 11, 18, 2, 16, 12, 5, 17, 15, 3, 14, 1}",3.887375,"{1, 19, 20, 6, 8, 4, 7, 13, 10, 9, 11, 17, 15, 12, 5, 2, 16, 18, 3, 14, 1}",4.261487,0.096238,0.000179
"{1, 17, 13, 6, 8, 12, 20, 5, 7, 15, 19, 18, 14, 3, 10, 16, 11, 4, 9, 2, 1}",4.029413,"{1, 13, 17, 2, 11, 4, 9, 16, 10, 3, 14, 5, 20, 18, 15, 19, 7, 12, 8, 6, 1}",4.421790,0.097378,0.000183
"{1, 18, 12, 19, 15, 4, 9, 8, 6, 17, 2, 11, 20, 10, 14, 16, 13, 7, 3, 5, 1}",4.105566,"{1, 18, 19, 12, 8, 17, 6, 9, 4, 15, 14, 16, 11, 20, 2, 10, 13, 7, 3, 5, 1}",5.477273,0.334109,0.000190
