optimal_tour,optimal_tour_length,nearest_neighbor_tour,nearest_neighbor_tour_length,score,time
"{1, 30, 8, 18, 28, 17, 7, 23, 26, 24, 5, 27, 13, 15, 10, 12, 9, 3, 21, 11, 16, 6, 25, 20, 29, 22, 19, 2, 14, 4, 1}",4.408784,"{1, 4, 14, 30, 8, 19, 22, 29, 2, 25, 20, 3, 21, 16, 11, 6, 9, 12, 10, 15, 13, 27, 5, 24, 7, 23, 26, 18, 17, 28, 1}",4.925865,0.117284,0.000101
"{1, 6, 4, 19, 28, 10, 5, 12, 9, 24, 20, 27, 8, 2, 30, 18, 11, 13, 15, 29, 16, 14, 26, 17, 3, 23, 7, 25, 21, 22, 1}",4.805601,"{1, 22, 6, 4, 19, 28, 10, 20, 24, 9, 12, 5, 27, 8, 2, 30, 18, 11, 13, 15, 29, 26, 17, 3, 23, 14, 16, 7, 25, 21, 1}",5.127150,0.066911,0.000102
"{1, 15, 20, 8, 5, 29, 3, 7, 21, 2, 26, 14, 12, 19, 25, 22, 10, 4, 18, 16, 30, 28, 13, 9, 11, 27, 17, 6, 24, 23, 1}",4.645895,"{1, 15, 20, 17, 6, 11, 27, 8, 5, 29, 3, 7, 21, 22, 10, 25, 12, 19, 14, 2, 26, 23, 24, 9, 13, 28, 30, 16, 18, 4, 1}",5.792344,0.246766,0.000129
"{1, 16, 25, 6, 9, 17, 26, 24, 2, 14, 3, 13, 22, 29, 11, 4, 20, 12, 10, 30, 18, 7, 21, 27, 28, 23, 19, 5, 15, 8, 1}",4.538300,"{1, 16, 25, 29, 22, 13, 3, 14, 2, 24, 26, 17, 9, 6, 11, 15, 8, 4, 20, 12, 28, 23, 27, 21, 10, 30, 18, 7, 19, 5, 1}",5.786132,0.274956,0.000108
"{1, 21, 11, 27, 10, 13, 30, 23, 24, 19, 29, 17, 7, 15, 3, 20, 28, 26, 5, 6, 14, 2, 8, 22, 9, 4, 12, 18, 25, 16, 1}",4.395518,"{1, 16, 25, 4, 22, 8, 2, 14, 6, 5, 20, 28, 26, 9, 12, 18, 21, 23, 24, 19, 29, 17, 7, 3, 15, 30, 13, 27, 11, 10, 1}",5.742845,0.306523,0.000122
"{1, 16, 22, 18, 14, 5, 27, 17, 7, 28, 25, 12, 11, 8, 3, 6, 2, 21, 4, 24, 29, 15, 20, 13, 9, 10, 30, 26, 19, 23, 1}",4.212930,"{1, 23, 19, 26, 9, 13, 20, 15, 29, 24, 4, 21, 2, 6, 3, 8, 11, 12, 25, 28, 7, 30, 10, 16, 22, 18, 14, 17, 27, 5, 1}",5.290130,0.255689,0.000107
"{1, 16, 26, 18, 20, 27, 23, 7, 17, 4, 5, 30, 29, 13, 21, 14, 24, 8, 22, 2, 6, 28, 19, 3, 11, 15, 25, 10, 12, 9, 1}",4.923536,"{1, 16, 26, 18, 27, 20, 23, 7, 2, 6, 28, 10, 25, 15, 12, 9, 3, 11, 19, 22, 8, 24, 14, 21, 13, 29, 30, 5, 4, 17, 1}",5.777695,0.173485,0.000101
"{1, 4, 12, 17, 23, 3, 16, 22, 30, 18, 2, 15, 19, 14, 8, 5, 27, 21, 29, 20, 11, 13, 28, 24, 7, 9, 25, 26, 10, 6, 1}",4.352213,"{1, 4, 12, 17, 8, 14, 19, 5, 27, 11, 20, 21, 29, 26, 10, 6, 23, 3, 16, 22, 30, 18, 2, 15, 13, 25, 9, 28, 7, 24, 1}",5.105074,0.172983,0.000101
"{1, 3, 14, 2, 18, 28, 16, 22, 25, 9, 4, 27, 26, 20, 13, 23, 30, 12, 21, 10, 19, 29, 5, 11, 6, 15, 24, 7, 8, 17, 1}",4.442610,"{1, 17, 8, 7, 16, 22, 25, 9, 4, 27, 26, 18, 2, 14, 3, 28, 20, 13, 23, 30, 12, 21, 10, 19, 29, 5, 11, 6, 15, 24, 1}",4.884681,0.099507,0.000101
"{1, 4, 16, 2, 10, 11, 18, 28, 15, 20, 27, 5, 17, 8, 6, 19, 24, 21, 13, 22, 12, 26, 9, 14, 23, 30, 3, 7, 29, 25, 1}",4.338206,"{1, 25, 2, 10, 11, 16, 4, 18, 28, 15, 20, 5, 27, 17, 8, 19, 6, 24, 21, 13, 26, 22, 12, 9, 23, 14, 30, 29, 7, 3, 1}",4.715662,0.087007,0.000101
