optimal_tour,optimal_tour_length,greedy_tour,greedy_tour_length,score,time
"{1, 14, 30, 20, 28, 2, 23, 17, 21, 15, 18, 29, 13, 24, 22, 19, 4, 26, 16, 10, 25, 11, 7, 9, 8, 5, 12, 6, 27, 3, 1}",4.548898,"{1, 14, 30, 20, 28, 2, 23, 17, 5, 12, 8, 11, 7, 9, 25, 16, 10, 26, 4, 19, 22, 24, 29, 18, 15, 21, 13, 6, 27, 3, 1}",5.622808,0.236081,0.000269
"{1, 19, 9, 2, 25, 4, 3, 16, 13, 5, 27, 20, 11, 18, 30, 15, 26, 12, 28, 6, 17, 24, 21, 22, 29, 7, 23, 14, 10, 8, 1}",4.414240,"{1, 19, 7, 23, 14, 10, 8, 12, 26, 15, 30, 18, 16, 13, 5, 27, 20, 11, 17, 28, 6, 22, 29, 21, 24, 25, 4, 3, 9, 2, 1}",5.259374,0.191456,0.000263
"{1, 15, 5, 27, 9, 21, 7, 17, 20, 24, 22, 28, 13, 14, 23, 3, 25, 18, 11, 8, 2, 4, 26, 6, 29, 16, 10, 12, 19, 30, 1}",4.668291,"{1, 29, 6, 26, 4, 8, 2, 11, 18, 14, 23, 3, 25, 28, 13, 7, 21, 9, 27, 5, 15, 30, 19, 20, 17, 24, 22, 12, 10, 16, 1}",5.060467,0.084008,0.000258
"{1, 25, 27, 18, 9, 13, 19, 24, 30, 8, 26, 10, 21, 23, 6, 3, 22, 4, 14, 29, 2, 28, 17, 7, 5, 16, 12, 15, 20, 11, 1}",4.071125,"{1, 11, 25, 27, 18, 9, 13, 5, 7, 17, 28, 2, 29, 4, 14, 22, 3, 6, 23, 21, 10, 26, 8, 19, 24, 30, 20, 15, 12, 16, 1}",4.412790,0.083924,0.000255
"{1, 6, 3, 27, 21, 22, 7, 15, 23, 17, 5, 29, 16, 11, 12, 2, 13, 25, 18, 10, 9, 26, 28, 30, 20, 24, 4, 19, 14, 8, 1}",4.050708,"{1, 8, 14, 19, 4, 24, 20, 30, 28, 26, 9, 10, 5, 17, 23, 15, 7, 22, 27, 21, 3, 6, 18, 25, 13, 2, 12, 11, 16, 29, 1}",5.097782,0.258492,0.000262
"{1, 27, 8, 23, 4, 13, 9, 14, 26, 17, 19, 6, 24, 25, 16, 7, 30, 10, 18, 15, 22, 5, 20, 2, 21, 12, 29, 11, 3, 28, 1}",4.344605,"{1, 28, 3, 11, 29, 12, 21, 2, 20, 5, 22, 15, 18, 10, 30, 7, 16, 25, 24, 6, 19, 17, 26, 14, 13, 9, 4, 23, 8, 27, 1}",4.389557,0.010346,0.000252
"{1, 20, 19, 6, 27, 29, 28, 11, 12, 2, 15, 25, 4, 3, 5, 9, 10, 22, 17, 30, 13, 21, 26, 24, 14, 8, 7, 23, 18, 16, 1}",4.587878,"{1, 16, 18, 23, 7, 8, 11, 28, 29, 27, 6, 12, 19, 2, 15, 25, 9, 5, 3, 4, 21, 13, 26, 24, 14, 30, 17, 22, 10, 20, 1}",5.271070,0.148912,0.000261
"{1, 29, 30, 24, 14, 26, 18, 7, 3, 23, 10, 8, 12, 27, 11, 5, 6, 28, 22, 16, 21, 13, 20, 2, 25, 4, 17, 19, 15, 9, 1}",4.594478,"{1, 29, 18, 7, 3, 23, 10, 8, 2, 20, 16, 21, 13, 12, 27, 11, 5, 22, 6, 28, 26, 14, 24, 30, 9, 15, 19, 17, 4, 25, 1}",5.229433,0.138199,0.000262
"{1, 6, 18, 13, 19, 29, 21, 25, 30, 15, 4, 16, 22, 2, 17, 24, 3, 20, 8, 9, 14, 5, 12, 26, 28, 10, 11, 7, 23, 27, 1}",4.759156,"{1, 27, 23, 30, 15, 4, 16, 22, 29, 21, 25, 2, 17, 24, 20, 3, 8, 9, 14, 5, 12, 26, 28, 10, 11, 7, 13, 19, 18, 6, 1}",5.547380,0.165623,0.000260
"{1, 28, 20, 16, 9, 10, 26, 30, 7, 22, 19, 18, 27, 8, 4, 25, 11, 29, 5, 21, 24, 6, 13, 17, 15, 23, 14, 12, 2, 3, 1}",4.759961,"{1, 28, 20, 16, 9, 10, 26, 30, 21, 5, 24, 6, 13, 17, 15, 2, 12, 14, 23, 11, 25, 4, 8, 27, 29, 18, 19, 22, 7, 3, 1}",5.330994,0.119966,0.000257
"{1, 17, 20, 5, 16, 27, 7, 19, 24, 14, 11, 4, 29, 28, 3, 22, 26, 18, 2, 8, 6, 30, 23, 9, 12, 10, 15, 13, 21, 25, 1}",4.661201,"{1, 17, 20, 5, 16, 27, 7, 19, 14, 24, 11, 4, 26, 18, 2, 22, 3, 29, 28, 8, 6, 30, 23, 9, 12, 10, 15, 13, 21, 25, 1}",4.747402,0.018493,0.000249
"{1, 26, 20, 15, 11, 13, 21, 27, 8, 12, 22, 29, 19, 28, 9, 24, 18, 7, 3, 10, 6, 30, 25, 23, 16, 2, 14, 4, 17, 5, 1}",4.771209,"{1, 26, 20, 6, 10, 3, 30, 7, 18, 24, 9, 28, 19, 29, 22, 12, 8, 27, 21, 13, 11, 15, 25, 23, 16, 2, 14, 4, 17, 5, 1}",5.133078,0.075844,0.000257
