optimal_tour,optimal_tour_length,3opt_tour,3opt_tour_length,score,time
"{1, 14, 30, 20, 28, 2, 23, 17, 21, 15, 18, 29, 13, 24, 22, 19, 4, 26, 16, 10, 25, 11, 7, 9, 8, 5, 12, 6, 27, 3, 1}",4.548898,"{1, 3, 27, 6, 12, 5, 8, 9, 7, 11, 25, 10, 16, 26, 4, 19, 22, 24, 13, 29, 18, 15, 21, 17, 23, 2, 28, 20, 30, 14, 1}",4.548898,0.000000,0.431577
"{1, 19, 9, 2, 25, 4, 3, 16, 13, 5, 27, 20, 11, 18, 30, 15, 26, 12, 28, 6, 17, 24, 21, 22, 29, 7, 23, 14, 10, 8, 1}",4.414240,"{1, 3, 4, 25, 2, 9, 19, 10, 14, 23, 7, 29, 21, 24, 22, 6, 28, 17, 11, 20, 27, 5, 13, 16, 18, 30, 15, 26, 12, 8, 1}",4.443981,0.006737,0.642085
"{1, 15, 5, 27, 9, 21, 7, 17, 20, 24, 22, 28, 13, 14, 23, 3, 25, 18, 11, 8, 2, 4, 26, 6, 29, 16, 10, 12, 19, 30, 1}",4.668291,"{1, 30, 19, 20, 24, 22, 17, 15, 5, 27, 9, 21, 7, 13, 28, 25, 3, 23, 14, 18, 11, 8, 2, 4, 26, 6, 29, 16, 10, 12, 1}",4.802047,0.028652,0.216022
"{1, 25, 27, 18, 9, 13, 19, 24, 30, 8, 26, 10, 21, 23, 6, 3, 22, 4, 14, 29, 2, 28, 17, 7, 5, 16, 12, 15, 20, 11, 1}",4.071125,"{1, 5, 7, 17, 28, 2, 29, 14, 4, 22, 3, 6, 23, 21, 10, 26, 8, 30, 24, 19, 13, 9, 18, 27, 25, 11, 20, 15, 12, 16, 1}",4.165208,0.023110,0.853484
"{1, 6, 3, 27, 21, 22, 7, 15, 23, 17, 5, 29, 16, 11, 12, 2, 13, 25, 18, 10, 9, 26, 28, 30, 20, 24, 4, 19, 14, 8, 1}",4.050708,"{1, 6, 3, 27, 21, 22, 7, 15, 23, 17, 5, 29, 16, 11, 12, 2, 13, 25, 18, 10, 9, 26, 30, 20, 24, 4, 19, 14, 8, 28, 1}",4.129788,0.019522,0.216173
"{1, 27, 8, 23, 4, 13, 9, 14, 26, 17, 19, 6, 24, 25, 16, 7, 30, 10, 18, 15, 22, 5, 20, 2, 21, 12, 29, 11, 3, 28, 1}",4.344605,"{1, 28, 3, 11, 29, 12, 21, 2, 20, 5, 22, 15, 18, 10, 30, 7, 16, 25, 24, 6, 19, 17, 26, 14, 9, 13, 4, 23, 8, 27, 1}",4.344605,0.000000,0.216581
"{1, 20, 19, 6, 27, 29, 28, 11, 12, 2, 15, 25, 4, 3, 5, 9, 10, 22, 17, 30, 13, 21, 26, 24, 14, 8, 7, 23, 18, 16, 1}",4.587878,"{1, 16, 18, 20, 19, 6, 27, 29, 28, 11, 12, 2, 15, 25, 4, 3, 5, 9, 10, 22, 17, 30, 13, 21, 26, 24, 14, 8, 7, 23, 1}",4.770736,0.039857,1.060779
"{1, 29, 30, 24, 14, 26, 18, 7, 3, 23, 10, 8, 12, 27, 11, 5, 6, 28, 22, 16, 21, 13, 20, 2, 25, 4, 17, 19, 15, 9, 1}",4.594478,"{1, 29, 18, 7, 3, 23, 10, 8, 12, 27, 11, 5, 14, 26, 30, 24, 28, 6, 22, 16, 21, 13, 20, 2, 25, 4, 17, 19, 15, 9, 1}",4.701863,0.023373,0.425510
"{1, 6, 18, 13, 19, 29, 21, 25, 30, 15, 4, 16, 22, 2, 17, 24, 3, 20, 8, 9, 14, 5, 12, 26, 28, 10, 11, 7, 23, 27, 1}",4.759156,"{1, 27, 23, 7, 12, 5, 14, 26, 11, 10, 28, 9, 8, 20, 3, 24, 17, 2, 22, 16, 4, 15, 30, 25, 21, 29, 19, 13, 18, 6, 1}",4.789919,0.006464,0.641815
"{1, 28, 20, 16, 9, 10, 26, 30, 7, 22, 19, 18, 27, 8, 4, 25, 11, 29, 5, 21, 24, 6, 13, 17, 15, 23, 14, 12, 2, 3, 1}",4.759961,"{1, 28, 20, 16, 9, 26, 30, 7, 22, 19, 18, 27, 8, 4, 25, 11, 29, 5, 21, 24, 6, 13, 17, 15, 23, 14, 12, 2, 3, 10, 1}",4.838556,0.016512,1.066027
